gene,Fish_kME
isogroup11815,0
isogroup11816,0
isogroup11817,0
isogroup1182,0
isogroup11820,0
isogroup11822,0
isogroup11824,0
isogroup11825,0
isogroup11830,0
isogroup11831,0
isogroup11832,0
isogroup11833,0
isogroup11835,0
isogroup11836,0
isogroup11838,0
isogroup11839,0
isogroup11845,0
isogroup11849,0
isogroup11852,0
isogroup11857,0
isogroup11858,0
isogroup11860,0
isogroup11862,0
isogroup11864,0
isogroup11867,0
isogroup11870,0
isogroup11871,0
isogroup11873,0
isogroup11874,0
isogroup11875,0
isogroup11876,0
isogroup11880,0
isogroup11884,0
isogroup11887,0
isogroup1189,0
isogroup11899,0
isogroup119,0
isogroup11905,0
isogroup11910,0
isogroup11913,0
isogroup11917,0
isogroup11926,0
isogroup11932,0
isogroup11933,0
isogroup11937,0
isogroup11939,0
isogroup11942,0
isogroup11947,0
isogroup11948,0
isogroup11954,0
isogroup11962,0
isogroup11965,0
isogroup1197,0
isogroup11976,0
isogroup11985,0
isogroup11986,0
isogroup11992,0
isogroup12,0
isogroup12000,0
isogroup12001,0
isogroup12012,0
isogroup12016,0
isogroup12017,0
isogroup12018,0
isogroup12020,0
isogroup12029,0
isogroup12032,0
isogroup12033,0
isogroup12034,0
isogroup12042,0
isogroup12045,0
isogroup12048,0
isogroup12049,0
isogroup1205,0
isogroup12052,0
isogroup12054,0
isogroup12056,0
isogroup12066,0
isogroup12071,0
isogroup12077,0
isogroup12078,0
isogroup1208,0
isogroup12080,0
isogroup12082,0
isogroup12084,0
isogroup12090,0
isogroup12091,0
isogroup1210,0
isogroup12103,0
isogroup12105,0
isogroup12107,0
isogroup12111,0
isogroup12115,0
isogroup1212,0
isogroup12131,0
isogroup12139,0
isogroup12140,0
isogroup12145,0
isogroup12147,0
isogroup1215,0
isogroup12154,0
isogroup12160,0
isogroup12165,0
isogroup12179,0
isogroup1218,0
isogroup12180,0
isogroup12185,0
isogroup12187,0
isogroup12199,0
isogroup12200,0
isogroup12202,0
isogroup12206,0
isogroup12208,0
isogroup12209,0
isogroup12212,0
isogroup12216,0
isogroup1222,0
isogroup12220,0
isogroup12226,0
isogroup12234,0
isogroup12247,0
isogroup12249,0
isogroup12254,0
isogroup12255,0
isogroup12259,0
isogroup12262,0
isogroup12265,0
isogroup12266,0
isogroup12277,0
isogroup12282,0
isogroup12286,0
isogroup12288,0
isogroup12289,0
isogroup12290,0
isogroup12295,0
isogroup12298,0
isogroup12306,0
isogroup12307,0
isogroup1231,0
isogroup12311,0
isogroup12314,0
isogroup12324,0
isogroup12329,0
isogroup12330,0
isogroup12335,0
isogroup12338,0
isogroup12340,0
isogroup12342,0
isogroup12344,0
isogroup12347,0
isogroup12348,0
isogroup12349,0
isogroup12351,0
isogroup12356,0
isogroup12358,0
isogroup1236,0
isogroup12362,0
isogroup12366,0
isogroup12373,0
isogroup12375,0
isogroup12378,0
isogroup1238,0
isogroup12386,0
isogroup1239,0
isogroup12392,0
isogroup12394,0
isogroup12399,0
isogroup1240,0
isogroup12405,0
isogroup12407,0
isogroup12409,0
isogroup1241,0
isogroup12417,0
isogroup12420,0
isogroup12421,0
isogroup12423,0
isogroup12424,0
isogroup12425,0
isogroup12429,0
isogroup12439,0
isogroup12448,0
isogroup12449,0
isogroup1245,0
isogroup12450,0
isogroup12457,0
isogroup12458,0
isogroup12459,0
isogroup12464,0
isogroup12469,0
isogroup12470,0
isogroup12480,0
isogroup12481,0
isogroup12484,0
isogroup12486,0
isogroup12490,0
isogroup125,0
isogroup12506,0
isogroup12510,0
isogroup12511,0
isogroup12512,0
isogroup12525,0
isogroup12535,0
isogroup12536,0
isogroup12540,0
isogroup12544,0.398773196839312
isogroup12545,0
isogroup12547,0
isogroup12548,0
isogroup12549,0
isogroup1255,0
isogroup12553,0
isogroup12558,0
isogroup12562,0
isogroup12567,0
isogroup12573,0
isogroup12574,0
isogroup12579,0
isogroup12580,0
isogroup12581,0
isogroup1259,0
isogroup12594,0
isogroup12596,0
isogroup126,0
isogroup12600,0
isogroup12602,0
isogroup12606,0
isogroup12607,0
isogroup12625,0
isogroup12627,0
isogroup12628,0
isogroup12639,0
isogroup12644,0
isogroup12645,0
isogroup12649,0
isogroup12651,0
isogroup12665,0
isogroup12667,0
isogroup1267,0
isogroup12679,0
isogroup12680,0
isogroup12682,0
isogroup12684,0
isogroup12690,0
isogroup12693,0
isogroup12697,0
isogroup12702,0
isogroup12703,0
isogroup12709,0
isogroup1271,0
isogroup12717,0
isogroup12720,0
isogroup12723,0
isogroup12726,0
isogroup12728,0
isogroup12730,0
isogroup12737,0
isogroup12744,0
isogroup12748,0
isogroup12749,0
isogroup1275,0
isogroup12750,0
isogroup1276,0
isogroup12760,0
isogroup12761,0
isogroup12765,0
isogroup12768,0
isogroup12775,0
isogroup1278,0
isogroup12790,0
isogroup12792,0
isogroup12795,0
isogroup12803,0
isogroup12804,0
isogroup1281,0
isogroup12814,0
isogroup12822,0
isogroup12825,0
isogroup12826,0
isogroup12827,0
isogroup12829,0
isogroup12851,0
isogroup12852,0
isogroup12857,0
isogroup12883,0
isogroup12887,0
isogroup12888,0
isogroup12892,0
isogroup12894,0
isogroup129,0
isogroup12904,0
isogroup12905,0
isogroup12909,0
isogroup12912,0
isogroup12914,0
isogroup12918,0
isogroup12920,0
isogroup12924,0
isogroup12925,0
isogroup12931,0
isogroup12943,0
isogroup12950,0
isogroup12967,0
isogroup12970,0
isogroup12977,0
isogroup12984,0
isogroup12986,0
isogroup12992,0
isogroup12994,0
isogroup13,0
isogroup13004,0
isogroup13005,0
isogroup13024,0
isogroup13033,0
isogroup13036,0
isogroup13048,0
isogroup13053,0
isogroup13055,0
isogroup13056,0
isogroup13063,0
isogroup13069,0
isogroup13074,0
isogroup13077,0
isogroup13080,0
isogroup13086,0
isogroup13091,0
isogroup13092,0
isogroup13093,0
isogroup13096,0
isogroup1311,0
isogroup13141,0
isogroup13151,0
isogroup13153,0
isogroup1316,0
isogroup13162,0
isogroup13172,0
isogroup13176,0
isogroup13179,0
isogroup13184,0
isogroup13191,0
isogroup13193,0
isogroup13195,0
isogroup132,0
isogroup13220,0
isogroup13226,0
isogroup13227,0
isogroup1323,0
isogroup13231,0
isogroup13232,0
isogroup13234,0
isogroup13235,0
isogroup13236,0
isogroup13237,0
isogroup13239,0
isogroup13241,0
isogroup13242,0
isogroup13244,0
isogroup13248,0
isogroup1325,0
isogroup13258,0
isogroup1326,0
isogroup13264,0
isogroup13265,0
isogroup13272,0
isogroup13273,0
isogroup13274,0
isogroup13275,0
isogroup13276,0
isogroup13279,0
isogroup13283,0
isogroup13287,0
isogroup13291,0
isogroup13292,0
isogroup13293,0
isogroup13298,0
isogroup1330,0
isogroup13300,0
isogroup13303,0
isogroup13306,0
isogroup13309,0
isogroup13320,0
isogroup13327,0
isogroup13330,0
isogroup13332,0
isogroup13333,0
isogroup13340,0
isogroup13342,0
isogroup13345,0
isogroup13349,0
isogroup13350,0
isogroup13351,0
isogroup13358,0
isogroup13361,0
isogroup13362,0
isogroup13366,0
isogroup13370,0
isogroup13371,0
isogroup13372,0
isogroup13373,0
isogroup13375,0
isogroup13376,0
isogroup13379,0
isogroup13383,0
isogroup13385,0
isogroup13388,0
isogroup13390,0
isogroup13394,0
isogroup13396,0
isogroup13399,0
isogroup13405,0
isogroup13409,0
isogroup13412,0
isogroup13413,0
isogroup13417,0
isogroup13425,0
